"","study","n.g1","med.g1","med.ci.lb.g1","med.ci.ub.g1","med.ci.level.g1","n.g2","med.g2","med.ci.lb.g2","med.ci.ub.g2","med.ci.level.g2"
"1","NCT00946712",656,10.9,9.5,12,0.95,657,9.2,8.7,10.3,0.95
"2","NCT01041781",154,11.4,9.46,14.06,0.95,158,12.5,9.36,13.83,0.95
"3","NCT01386385",18,27.6,17.4,27.6,0.95,13,15.2,6.6,20.6,0.95
"4","NCT01395758",51,6.8,4.97,10.7,0.95,45,8.5,6.37,13.97,0.95
"5","NCT01466660",160,27.86,25.13,32.85,0.95,159,24.54,20.57,28.88,0.95
"6","NCT01642251",64,10.3,8.9,12,0.95,64,8.9,8.3,11.3,0.95
"7","NCT01828112",115,18.1,13.4,23.9,0.95,116,20.1,11.9,25.1,0.95
"8","NCT01933932",254,8.7,3.6,16.8,0.95,256,7.9,3.8,20.1,0.95
"9","NCT01951586",148,10.7,8.54,12.35,0.95,78,10.9,9.26,15.54,0.95
"10","NCT02008227",425,13.8,11.8,15.7,0.95,425,9.6,8.6,11.2,0.95
"11","NCT02041533",211,14.36,11.6,17.45,0.95,212,13.21,10.68,17.08,0.95
"12","NCT02151981",279,26.8,23.5,31.5,0.95,140,22.5,20.2,28.8,0.95
"13","NCT02152631",270,7.4,6.5,8.8,0.95,183,7.8,6.4,9.5,0.95
"14","NCT02264990",298,12.1,10.4,14.9,0.95,297,12.1,10,13.7,0.95
"15","NCT02296125",279,38.6,34.5,41.8,0.95,277,31.8,26.6,36,0.95
"16","NCT02352948",62,11.7,8.2,17.4,0.95,64,6.8,4.9,10.2,0.95
"17","NCT02352948",174,11.5,8.7,14.1,0.95,118,8.7,6.5,11.7,0.95
"18","NCT02366143",359,19.2,17,23.8,0.95,337,14.7,13.3,16.9,0.95
"19","NCT02367781",456,18.6,15.8,21.2,0.95,229,13.9,12,18.7,0.95
"20","NCT02367794",343,14.2,12.3,16.8,0.95,340,13.5,12.2,15.1,0.95
"21","NCT02387216",71,7.7,3.6,10.4,0.95,38,8.4,5.8,14.7,0.95
"22","NCT02395172",396,10.6,9.2,12.3,0.95,396,9.9,8.1,11.9,0.95
"23","NCT02409342",277,18.9,13.4,23,0.95,277,14.7,11.2,16.5,0.95
"24","NCT02450539",106,7,5,8.78,0.95,53,12.39,7.13,15.98,0.95
"25","NCT02453282",163,11.9,9,17.7,0.95,162,12.9,10.5,15,0.95
"26","NCT02453282",163,16.3,12.2,20.8,0.95,162,12.9,10.5,15,0.95
"27","NCT02542293",410,10.9,9.3,12.6,0.95,413,12.1,10.3,13.5,0.95
"28","NCT02657434",292,17.5,13.2,19.6,0.95,286,13.6,11,15.7,0.95
"29","NCT02785952",125,10,8,14.4,0.95,127,11,8.6,13.7,0.95
"30","NCT02855125",64,7.92,6.28,10.78,0.95,64,9.82,7.66,13.4,0.95
